id,name,name_id,url,country,date_live,date_added,usdt,fiat,auto,volume_usd,udate,volume_usd_adj
100,Gate,gate,https://gate.io/,"Virginia, US",2017-00-00,0000-00-00 00:00:00,0,0,No,815496645.1423261,Recently,2021419325.076496
101,Litebit,litebit,https://www.litebit.eu/en,,,0000-00-00 00:00:00,0,0,No,1892215.6096295137,Recently,1892215.6096295137
102,Bit-z,bit-z,https://www.bit-z.com,"Hong Kong, Beijing, Singapore",2016-01-01,0000-00-00 00:00:00,1,0,No,37301205.5488,Lag,0.0
103,Lbank,lbank,https://www.lbank.info,HK,2017-01-01,2018-05-01 00:00:00,1,0,No,1003510193.6420199,Recently,155081085.22642133
104,Simex Global,simex,https://simex.global/en,"Las Vegas, NV",2015-01-01,2018-05-01 00:00:00,1,1,No,129147317.580145,Recently,238898.48492562212
105,BCex,bcex,https://www.bcex.ca,Vancouver,2017-09-01,2018-05-01 00:00:00,1,0,No,0.0,Recently,0.0
106,Coinbene,coinbene,https://www.coinbene.com/,Singapore,2017-10-01,2018-05-01 00:00:00,1,0,No,0.0,Lag,0.0
107,Bibox,bibox,https://www.bibox.com/,China,2017-09-01,2018-05-02 00:00:00,1,0,No,332870811.2701,Recently,11921829.338037003
108,Sistemkoin,sistemkoin,https://sistemkoin.com/,Turkey,2017-01-01,2018-05-03 00:00:00,0,1,No,58795829.15401278,Lag,58795829.15401278
109,Vebitcoin,vebitcoin,https://www.vebitcoin.com,Turkey,,2018-05-03 00:00:00,0,1,No,48211572.99255482,Lag,48211572.99255482
110,Koineks,koineks,https://koineks.com,,,2018-05-03 00:00:00,0,1,No,1108554.8077569073,Lag,0.0
111,C2cx,c2cx,https://www.c2cx.com,China,,2018-05-03 00:00:00,1,0,No,0.0,Lag,0.0
112,Quadrigacx,quadrigacx,https://www.quadrigacx.com,Canada,,2018-05-03 00:00:00,0,0,No,497475.6280800527,NA,497475.6280800527
113,Crex24,crex24,https://crex24.com,Cyprus,2017-01-01,2018-05-03 00:00:00,0,1,No,2507461.65856224,Recently,2507461.65856224
114,Btcc,btcc,https://btcc.com,"Hong Kong, China",2011-00-00,2018-05-07 00:00:00,0,1,Yes,0.0,NA,0.0
115,Dragonex,dragonex,https://dragonex.io,Thailand,2017-01-01,2018-05-07 00:00:00,1,0,No,516791779.0418818,Recently,1769803.947050537
116,BTCbox,btcbox,https://www.btcbox.co.jp,"Chiba-cho, Nihonbashi, Chuo-ku, Tokyo",2014-00-00,2018-05-07 00:00:00,0,1,No,55650000.266124,Recently,55650000.266124
117,Rightbtc,rightbtc,https://www.rightbtc.com,,,2018-05-07 00:00:00,0,0,No,0.0,Lag,0.0
118,Otcbtc,otcbtc,https://otcbtc.com,Taiwan,,2018-05-07 00:00:00,1,0,No,2070.106608381,Recently,2070.106608381
119,Indodax,indodax,https://indodax.com,Indonesia,2014-01-01,2018-05-08 00:00:00,0,1,No,1216085.931973258,Recently,473644.02018061624
120,Ooobtc,ooobtc,https://ooobtc.com,Singapore,,2018-05-08 00:00:00,0,0,No,149031.57753848354,Lag,0.0
121,Fatbtc,fatbtc,https://www.fatbtc.com,Seychelles,2014-01-01,2018-05-08 00:00:00,0,0,No,207422268.98423147,Recently,1077747.373488526
122,Gopax,gopax,https://www.gopax.co.kr,South Korea,2016-01-01,2018-05-08 00:00:00,0,0,No,949594.9420282402,Recently,0.0
123,Bitbank,bitbank,https://bitbank.cc/,Japan,2016-01-01,2018-05-08 00:00:00,0,1,No,55034646.30139298,Recently,9904980.63113106
124,Braziliex,braziliex,https://braziliex.com/,Brazil,2017-01-01,2018-05-08 00:00:00,0,1,No,0.0,NA,0.0
125,BtcTrade.im,btctradeim,https://www.btctrade.im/,Hong Kong,,2018-05-08 00:00:00,0,0,No,7408781.928712622,NA,0.0
126,BTC TRADE UA ,btctradeua,https://btc-trade.com.ua,Ukraine,,2018-05-08 00:00:00,0,1,No,0.0,NA,0.0
127,CoinEgg,coinegg,https://www.coinegg.com/,,,2018-05-08 00:00:00,0,0,No,887.296556177241,Recently,0.0
128,Coinex,coinex,https://www.coinex.com/,China,2017-01-01,2018-05-08 00:00:00,1,0,No,81081649.90254505,Recently,38513017.038875766
129,Ethfinex,ethfinex,https://www.ethfinex.com,British Virgin Islands,2017-01-01,2018-05-08 00:00:00,0,0,No,908170.9839628545,Lag,0.0
130,GetBTC,getbtc,https://getbtc.org/,"St. Vincent & Grenadines, Russia
",,2018-05-08 00:00:00,0,1,No,0.0,NA,0.0
131,Kuna,kuna,https://kuna.io/,Ukraine,,2018-05-08 00:00:00,0,1,No,8248.667598816699,Recently,8248.667598816699
132,Lykke,lykke,https://www.lykke.com/,Switzerland,2017-01-01,2018-05-08 00:00:00,0,1,No,144105.94359584898,Recently,144105.94359584898
133,NegocieCoins,negociecoins,https://www.negociecoins.com.br/,Brazil,,2018-05-09 00:00:00,0,1,No,16747.9241587738,Lag,0.0
134,Paribu,paribu,https://www.paribu.com,,,2018-05-09 00:00:00,0,1,No,21213669.445746,Recently,3270229.9886532086
135,QRYPTOS,qryptos,https://www.qryptos.com/,"China, Taiwan",,2018-05-10 00:00:00,0,0,No,110957.58145141635,Lag,0.0
136,Coinrail,coinrail,https://coinrail.co.kr,Korea,,2018-05-10 00:00:00,0,1,No,6792.622428012341,Lag,6792.622428012341
137,Big.One,big.one,https://big.one,,,2018-05-11 00:00:00,1,0,No,581152844.6812577,Recently,57530066.02697624
138,Bancor,bancor,https://www.bancor.network/discover,,,2018-05-11 00:00:00,0,0,No,0.0,Recently,0.0
139,Zebpay,zebpay,https://www.zebpay.com/,Singapore,2015-00-00,2018-05-11 00:00:00,0,1,No,1861943.3518073,Recently,1861943.3518073
140,Fexpro,fexpro,https://fexpro.io,Hong Kong,,2018-05-11 00:00:00,1,0,No,3026.242485821885,NA,0.0
141,B2bx,b2bx,https://www.b2bx.exchange,Russia,2017-01-01,2018-05-11 00:00:00,1,0,No,0.0,NA,0.0
142,Trade By Trade,tradebytrade,https://tradebytrade.com/,,,2018-05-11 00:00:00,1,0,No,0.0,Lag,0.0
143,Exrates,exrates,https://exrates.me/,Indonesia,2017-01-01,2018-05-11 00:00:00,0,1,No,27776535.077946823,Recently,27776535.077946823
