id,name,name_id,url,country,date_live,date_added,usdt,fiat,auto,volume_usd,udate,volume_usd_adj
48,Gemini,gemini,https://gemini.com,US,2014-01-01,0000-00-00 00:00:00,0,0,Yes,90985091.66031662,Recently,31544150.999316655
49,HitBTC,hitbtc2,https://hitbtc.com/,Hong Kong,2013-01-01,0000-00-00 00:00:00,1,0,Yes,6261244716.713026,Recently,929472244.4921186
50,Huobi,huobi,https://www.huobi.com/,Singapore,2013-01-01,2018-05-21 00:00:00,1,0,No,2403064920.7390213,Recently,465004221.8914673
53,Independent Reserve,independentreserve,https://www.independentreserve.com,"Australia, New Zealand",,0000-00-00 00:00:00,0,0,Yes,5076775.756545854,Recently,5076775.756545854
54,itBit,itbit,https://itbit.com,US,2013-01-01,0000-00-00 00:00:00,0,1,No,19237780.580121893,Lag,0.0
55,jubi.com,jubi,https://www.jubi.com/,China,,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
56,Kraken,kraken,https://www.kraken.com,"San Francisco, California, United States",2011-00-00,0000-00-00 00:00:00,0,0,Yes,1036522731.3083018,Recently,729363844.80272
57,LakeBTC,lakebtc,https://www.lakebtc.com,US,2013-00-00,0000-00-00 00:00:00,0,0,Yes,4555782.636599001,Lag,0.0
58,LiveCoin,livecoin,https://www.livecoin.net,"US, UK, Russia",2017-01-01,0000-00-00 00:00:00,0,0,Yes,0.0,Lag,0.0
59,Liqui,liqui,https://liqui.io,Ukraine,,0000-00-00 00:00:00,0,0,Yes,503.35853829542,NA,0.0
60,luno,luno,https://www.luno.com/en,"London, United Kingdom",2013-01-01,0000-00-00 00:00:00,0,0,Yes,1140681.6234983,Recently,1140681.6234983
61,Mercado Bitcoin,mercado,https://www.mercadobitcoin.com.br,Brazil,,0000-00-00 00:00:00,0,0,Yes,11287414.188683,Recently,226710.03740039273
62,MixCoins,mixcoins,https://mixcoins.com/,"UK, Hong Kong",,0000-00-00 00:00:00,0,0,Yes,12.511906344542,Lag,0.0
63,Novaexchange,nova,https://novaexchange.com,Tanzania,,0000-00-00 00:00:00,0,0,Yes,1124.0003733013768,Lag,1124.0003733013768
66,OKEX,okex,https://www.okex.com/,Hong Kong,2014-01-01,2018-05-21 00:00:00,1,0,No,5810718182.5862875,Recently,2827078964.757894
67,Paymium,paymium,https://www.paymium.com,"France, EU",,0000-00-00 00:00:00,0,0,Yes,5945.3374105033,Lag,5945.3374105033
68,Poloniex,poloniex,https://poloniex.com,"Wilmington, Delaware, United States",2014-00-00,0000-00-00 00:00:00,0,0,Yes,89285531.9989402,Recently,18830671.50521934
70,QUOINE,quoine,https://quoinex.com/,"Japan, Singapore, Vietnam",,0000-00-00 00:00:00,0,0,Yes,68508962.95760141,Lag,0.0
71,SouthXchange,southxchange,https://www.southxchange.com/,Argentina,,0000-00-00 00:00:00,0,0,Yes,270319.49448203243,Recently,270319.49448203243
72,SurBitcoin,surbitcoin,https://surbitcoin.com/,Venezuela,,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
73,Tidex,tidex,https://tidex.com,UK,2017-01-01,0000-00-00 00:00:00,0,0,No,5296929.055701693,Recently,5296929.055701693
74,TheRockTrading,therocktrading,https://www.therocktrading.com,Italy,2007-01-01,0000-00-00 00:00:00,0,1,No,1182304.34111505,Recently,1182304.34111505
75,UrduBit,urdubit,https://urdubit.com,Pakistan,,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
76,Vaultoro,vaultoro,https://www.vaultoro.com,Switzerland,,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
77,VBTC,vbtc,https://vbtc.exchange,Vietnam,,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
78,VirWoX,virwox,https://www.virwox.com,"Austria, EU",,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
79,WEX,wex,https://wex.nz/,New Zealand,,0000-00-00 00:00:00,0,0,Yes,2147356.1169679267,NA,2147356.1169679267
80,xBTCe,xbtce,https://www.xbtce.com/,Russia,,0000-00-00 00:00:00,0,0,Yes,4916.9149720000005,Lag,4916.9149720000005
81,YoBit,yobit,https://yobit.net/,Russia,,0000-00-00 00:00:00,0,0,Yes,257370776.32268697,Recently,37671568.64597069
82,YUNBI,yunbi,https://yunbi.com,China,,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
83,Zaif,zaif,https://zaif.jp,Japan,2015-00-00,0000-00-00 00:00:00,0,0,Yes,7142338.431921366,Recently,283134.22191124846
84,Coinone,coinone,https://coinone.co.kr,Korea,2016-01-01,0000-00-00 00:00:00,0,0,No,210830403.2026578,Recently,35552239.12303307
85,ZB.com,zb,https://www.zb.com,China,2017-01-01,0000-00-00 00:00:00,1,0,No,1073548446.5536834,Recently,36819700.00420989
86,Coinnest,coinnest,https://www.coinnest.co.kr,Korea,2017-01-01,0000-00-00 00:00:00,0,0,No,0.0,Lag,0.0
87,Korbit,korbit,https://www.korbit.co.kr,Korea,2013-01-01,0000-00-00 00:00:00,0,0,No,8271454.120868955,Recently,232657.9106874325
90,Coinroom,coinroom,https://coinroom.com,Poland,2017-01-01,0000-00-00 00:00:00,0,0,No,2657960.9005570333,NA,2657960.9005570333
96,Kucoin,kucoin,https://www.kucoin.com,Hong Kong,2014-01-01,0000-00-00 00:00:00,0,0,No,2504866369.9693174,Recently,1951734103.5478137
98,Bitsane,bitsane,https://bitsane.com,Ireland,2016-01-01,0000-00-00 00:00:00,0,0,No,121018144.91110094,Lag,0.0
99,Exx,exx,https://www.exx.com,China,2017-01-01,0000-00-00 00:00:00,0,0,No,330615143.45862764,Lag,291108.4465899978
100,Gate,gate,https://gate.io/,"Virginia, US",2017-00-00,0000-00-00 00:00:00,0,0,No,925956091.8351995,Recently,2330089517.873282
102,Bit-z,bit-z,https://www.bit-z.com,"Hong Kong, Beijing, Singapore",2016-01-01,0000-00-00 00:00:00,1,0,No,37301205.5488,Lag,0.0
103,Lbank,lbank,https://www.lbank.info,HK,2017-01-01,2018-05-01 00:00:00,1,0,No,1010339340.4781876,Recently,158508401.11491936
104,Simex Global,simex,https://simex.global/en,"Las Vegas, NV",2015-01-01,2018-05-01 00:00:00,1,1,No,129293335.74901,Recently,242801.92408528828
105,BCex,bcex,https://www.bcex.ca,Vancouver,2017-09-01,2018-05-01 00:00:00,1,0,No,0.0,Recently,0.0
106,Coinbene,coinbene,https://www.coinbene.com/,Singapore,2017-10-01,2018-05-01 00:00:00,1,0,No,0.0,Lag,0.0
107,Bibox,bibox,https://www.bibox.com/,China,2017-09-01,2018-05-02 00:00:00,1,0,No,364315768.52822804,Recently,13246255.67794561
108,Sistemkoin,sistemkoin,https://sistemkoin.com/,Turkey,2017-01-01,2018-05-03 00:00:00,0,1,No,58795829.15401278,Lag,58795829.15401278
109,Vebitcoin,vebitcoin,https://www.vebitcoin.com,Turkey,,2018-05-03 00:00:00,0,1,No,48211572.99255482,Lag,48211572.99255482
111,C2cx,c2cx,https://www.c2cx.com,China,,2018-05-03 00:00:00,1,0,No,0.0,Lag,0.0
