Unix,Date,Symbol,Open_price,High,Low,Close,Volume_bnb,Volume_usdt,Tradecount
1640822400000,2021-12-30 00:00:00,BNB/USDT,514.49,515.16,514.14,515.11,1044.53,537597.6925,715
1640822340000,2021-12-29 23:59:00,BNB/USDT,513.94,514.61,513.9,514.49,530.96,273048.0554,336
1640822280000,2021-12-29 23:58:00,BNB/USDT,514.39,514.7,513.79,513.92,558.07,287042.7877,401
1640822220000,2021-12-29 23:57:00,BNB/USDT,514.62,514.76,514.11,514.42,355.32,182831.1361,308
1640822160000,2021-12-29 23:56:00,BNB/USDT,513.76,514.79,513.56,514.66,782.09,402306.8594,556
1640822100000,2021-12-29 23:55:00,BNB/USDT,512.77,513.88,512.77,513.77,1084.73,556864.7228,611
1640822040000,2021-12-29 23:54:00,BNB/USDT,513.41,513.69,512.75,512.77,410.65,210767.3335,390
1640821980000,2021-12-29 23:53:00,BNB/USDT,513.42,513.63,513.16,513.44,477.9,245355.5532,375
1640821920000,2021-12-29 23:52:00,BNB/USDT,513.59,514.51,513.41,513.42,581.91,299109.2088,481
1640821860000,2021-12-29 23:51:00,BNB/USDT,514.35,514.37,513.45,513.58,889.15,457073.4441,586
1640821800000,2021-12-29 23:50:00,BNB/USDT,513.93,514.51,513.62,514.4,1187.23,610400.8285,789
1640821740000,2021-12-29 23:49:00,BNB/USDT,512.62,514.13,512.49,513.87,1092.3,560593.4302,681
1640821680000,2021-12-29 23:48:00,BNB/USDT,512.75,513.7,512.55,512.66,1148.06,589049.8512,758
1640821620000,2021-12-29 23:47:00,BNB/USDT,512.03,512.79,511.86,512.73,411.06,210590.306,483
1640821560000,2021-12-29 23:46:00,BNB/USDT,511.46,512.01,510.88,512.01,1556.76,796181.6552,938
1640821500000,2021-12-29 23:45:00,BNB/USDT,512.78,512.84,511.01,511.45,1756.93,899052.0302,1062
1640821440000,2021-12-29 23:44:00,BNB/USDT,512.47,512.83,512.12,512.8,671.48,344165.2687,431
1640821380000,2021-12-29 23:43:00,BNB/USDT,513.29,513.34,512.0,512.44,1664.25,852656.4093,766
1640821320000,2021-12-29 23:42:00,BNB/USDT,513.28,513.91,513.06,513.32,495.84,254573.9643,448
1640821260000,2021-12-29 23:41:00,BNB/USDT,513.68,513.68,512.72,513.29,1205.38,618854.4998,722
1640821200000,2021-12-29 23:40:00,BNB/USDT,513.16,513.98,512.83,513.69,860.61,441999.3347,508
1640821140000,2021-12-29 23:39:00,BNB/USDT,513.0,513.27,512.37,513.16,528.98,271293.0594,474
1640821080000,2021-12-29 23:38:00,BNB/USDT,513.18,513.75,512.94,513.01,775.74,398208.6692,393
1640821020000,2021-12-29 23:37:00,BNB/USDT,513.8,513.81,513.01,513.15,873.7,448577.7343,748
1640820960000,2021-12-29 23:36:00,BNB/USDT,514.03,514.18,513.41,513.82,704.55,361983.5566,453
1640820900000,2021-12-29 23:35:00,BNB/USDT,514.27,514.28,512.87,514.0,886.72,455418.0416,653
1640820840000,2021-12-29 23:34:00,BNB/USDT,512.89,514.56,512.65,514.28,1524.1,783199.0548,917
1640820780000,2021-12-29 23:33:00,BNB/USDT,512.22,513.47,512.16,512.89,1362.04,698600.6601,781
1640820720000,2021-12-29 23:32:00,BNB/USDT,512.01,512.3,510.85,512.2,1817.38,929780.6743,1475
1640820660000,2021-12-29 23:31:00,BNB/USDT,512.95,512.96,511.65,512.1,1559.72,798706.1409,1072
1640820600000,2021-12-29 23:30:00,BNB/USDT,512.97,514.18,512.54,512.95,1054.79,541458.0598,789
1640820540000,2021-12-29 23:29:00,BNB/USDT,512.77,513.69,512.44,512.88,1259.92,646440.3375,634
1640820480000,2021-12-29 23:28:00,BNB/USDT,513.32,513.91,511.92,512.77,1679.9,861093.9488,931
1640820420000,2021-12-29 23:27:00,BNB/USDT,513.58,514.08,512.57,513.31,1286.45,660442.8481,691
1640820360000,2021-12-29 23:26:00,BNB/USDT,514.11,514.9,512.68,513.5,1761.47,904934.4787,997
1640820300000,2021-12-29 23:25:00,BNB/USDT,512.95,514.77,512.95,514.08,2905.2,1493743.2333,1324
1640820240000,2021-12-29 23:24:00,BNB/USDT,512.97,513.57,511.9,512.95,3372.71,1728860.9732,1570
1640820180000,2021-12-29 23:23:00,BNB/USDT,513.26,514.64,512.11,512.98,2924.89,1502139.6244,1909
1640820120000,2021-12-29 23:22:00,BNB/USDT,512.63,515.22,512.28,513.31,6838.22,3512552.7059,3889
1640820060000,2021-12-29 23:21:00,BNB/USDT,513.64,514.33,510.09,512.63,10796.75,5527792.1855,6117
1640820000000,2021-12-29 23:20:00,BNB/USDT,517.66,517.89,512.22,513.63,18488.44,9508035.72336,10501
1640819940000,2021-12-29 23:19:00,BNB/USDT,517.92,517.98,517.45,517.65,223.23,115581.6677,289
1640819880000,2021-12-29 23:18:00,BNB/USDT,517.67,518.08,517.42,517.91,421.63,218281.5499,308
1640819820000,2021-12-29 23:17:00,BNB/USDT,517.35,517.66,517.07,517.66,371.3,192073.5782,468
1640819760000,2021-12-29 23:16:00,BNB/USDT,517.46,517.64,517.17,517.35,783.17,405219.5662,697
1640819700000,2021-12-29 23:15:00,BNB/USDT,517.9,518.27,517.45,517.45,858.95,444796.8413,501
1640819640000,2021-12-29 23:14:00,BNB/USDT,517.94,518.2,517.82,517.89,264.8,137143.4786,340
1640819580000,2021-12-29 23:13:00,BNB/USDT,518.45,518.51,517.93,517.93,613.2,317727.7194,555
1640819520000,2021-12-29 23:12:00,BNB/USDT,518.39,518.77,518.39,518.45,644.0,333946.448,395
1640819460000,2021-12-29 23:11:00,BNB/USDT,519.05,519.15,518.37,518.39,735.23,381391.0007,606
1640819400000,2021-12-29 23:10:00,BNB/USDT,520.62,520.63,518.98,519.04,561.67,291947.9121,567
1640819340000,2021-12-29 23:09:00,BNB/USDT,520.28,520.73,520.17,520.66,297.5,154818.5753,365
1640819280000,2021-12-29 23:08:00,BNB/USDT,520.04,520.27,519.72,520.27,660.68,343524.2465,440
1640819220000,2021-12-29 23:07:00,BNB/USDT,519.24,520.08,519.22,520.05,727.45,377946.5791,413
1640819160000,2021-12-29 23:06:00,BNB/USDT,519.08,519.63,519.0,519.17,378.59,196654.9282,319
1640819100000,2021-12-29 23:05:00,BNB/USDT,518.77,519.44,518.41,519.08,877.26,455212.8809,631
1640819040000,2021-12-29 23:04:00,BNB/USDT,519.57,519.57,518.69,518.77,670.8,348182.287,576
1640818980000,2021-12-29 23:03:00,BNB/USDT,520.21,520.21,519.56,519.56,255.78,132977.6675,269
1640818920000,2021-12-29 23:02:00,BNB/USDT,520.56,520.56,519.65,520.22,352.91,183495.0892,375
1640818860000,2021-12-29 23:01:00,BNB/USDT,520.65,520.88,520.63,520.63,231.77,120697.4083,287
1640818800000,2021-12-29 23:00:00,BNB/USDT,519.94,521.0,519.82,520.65,760.97,396077.6329,543
1640818740000,2021-12-29 22:59:00,BNB/USDT,519.65,520.28,519.64,519.95,271.79,141320.4683,275
1640818680000,2021-12-29 22:58:00,BNB/USDT,519.62,519.69,519.56,519.61,225.36,117103.0949,184
1640818620000,2021-12-29 22:57:00,BNB/USDT,519.43,519.69,519.31,519.64,190.88,99166.9406,204
1640818560000,2021-12-29 22:56:00,BNB/USDT,519.47,519.59,519.24,519.44,126.24,65568.7717,169
1640818500000,2021-12-29 22:55:00,BNB/USDT,519.09,519.58,518.86,519.46,506.15,262762.8339,387
1640818440000,2021-12-29 22:54:00,BNB/USDT,519.62,519.64,519.09,519.1,289.14,150180.8301,290
1640818380000,2021-12-29 22:53:00,BNB/USDT,519.94,519.94,519.61,519.61,226.9,117922.9319,188
1640818320000,2021-12-29 22:52:00,BNB/USDT,519.84,519.95,519.7,519.94,175.01,90971.7099,203
1640818260000,2021-12-29 22:51:00,BNB/USDT,520.31,520.44,519.83,519.84,266.71,138692.3065,322
1640818200000,2021-12-29 22:50:00,BNB/USDT,520.29,520.43,520.12,520.35,379.03,197185.0146,263
1640818140000,2021-12-29 22:49:00,BNB/USDT,520.43,520.48,520.25,520.28,115.96,60343.8798,168
1640818080000,2021-12-29 22:48:00,BNB/USDT,520.62,520.62,520.29,520.43,279.63,145526.0879,241
1640818020000,2021-12-29 22:47:00,BNB/USDT,521.0,521.0,520.62,520.62,241.9,125984.4529,214
1640817960000,2021-12-29 22:46:00,BNB/USDT,521.26,521.34,521.0,521.0,345.93,180290.6762,324
1640817900000,2021-12-29 22:45:00,BNB/USDT,521.77,521.79,521.21,521.25,361.66,188602.1097,270
1640817840000,2021-12-29 22:44:00,BNB/USDT,521.74,521.83,521.69,521.77,172.35,89926.2506,246
1640817780000,2021-12-29 22:43:00,BNB/USDT,522.23,522.23,521.49,521.73,600.81,313585.1092,345
1640817720000,2021-12-29 22:42:00,BNB/USDT,522.15,522.33,522.1,522.24,300.06,156694.1759,326
1640817660000,2021-12-29 22:41:00,BNB/USDT,522.02,522.18,521.9,522.15,299.8,156503.6684,308
1640817600000,2021-12-29 22:40:00,BNB/USDT,521.7,522.11,521.7,522.03,1535.8,801535.1458,569
1640817540000,2021-12-29 22:39:00,BNB/USDT,521.44,521.73,521.34,521.7,480.26,250476.7096,402
1640817480000,2021-12-29 22:38:00,BNB/USDT,521.33,521.45,521.33,521.45,71.71,37386.9297,146
